ID,sku,name,price
1457,SONXZP024,For Sony Xperia XZ Premium Charger Flex,20
1456,SONXZP023,For Sony Xperia XZ Premium Home Button Flex White,6
1455,SONXZP022,For Sony Xperia XZ Premium Home Button Flex Black,6
1454,SONXZP021,For Sony Xperia XZ Premium Audio Flex,10
1453,SONXZP027,For Sony Xperia XZ Premium Sim Holder,4
1452,SONXZP028,For Sony Xperia XZ Premium Sim Holder Plug White,8
1451,SONXZP029,For Sony Xperia XZ Premium Sim Holder Plug Black,8
1450,SONXZP030,For Sony Xperia XZ Premium Vibrator,6
1449,SONXZP031,For Sony Xperia XZ Premium NFC,7
1448,AP101,For iPad Air 2 Digitizer Touch Screen Replacement-Original Black,80
1447,AP102,For iPad Air 2 Digitizer Touch Screen Replacement-Original White,80
1446,SONXZP003,For Sony Xperia XZ Premium LCD Display Original New Pink,480
1445,SONZ5102A,For Sony Xperia Z5 LCD Display Original White with frame,190
1444,SAMG950F281,For Samsung SM-G950F S8 Back Cover-Gold,23
1443,SONZ5101A,For Sony Xperia Z5 LCD Display Original Black with frame,190
1442,AP111,For iPad Air 2/iPad mini 4/iPad Pro 12.9 Home Button Complete Black,7
1441,AP112,For iPad Air 2/iPad mini 4/iPad Pro 12.9 Home Button Complete White,7
1440,AP113,For iPad Air 2/iPad mini 4/iPad Pro 12.9 Home Button Complete Gold,7
1439,HUAP901,For Huawei P9 LCD Display Original Black,180
1438,IPAR2122,For iPad Air 2 Loud Speaker Replacement,30
1437,IPAR2121,For iPad Air 2/iPad mini 4/iPad Pro 12.9 Front Camera Replacement With Sensor Flex Cable Ribbon,8
1436,IPAR2022,For iPad Air 2 Wifi Antenna Replacement With Flex Cable Ribbon ,7
1435,IPAR2021,For iPad Air 2 Volume Button with Flex Cable Ribbon ,5
1434,SAMG950F02C,For Samsung SM-G950F S8 LCD Display Black With Frame And Battery And Small Parts,1630
1433,SAMG950F02A,For Samsung SM-G950F S8 LCD Display Black With Frame And Small Parts,1630
1432,SAMG935F36,For Samsung SM-G935F S7 Edge LCD Display Original New Gold With Frame,1590
1430,6G89,For iPhone 6 LCD Display OEM (SC) Black,83
1429,6G101,For iPhone 6 LCD Display OEM (Sharp) Black,103
1428,6G102,For iPhone 6 LCD Display OEM (Sharp) White,103
1427,6P522B,For iPhone 6 Plus LCD Display OEM (COG) Black With Small Parts,123.4
1426,5S87,For iPhone 5S LCD Display OEM (TM) White With Small Parts,81.75
1425,5S86,For iPhone 5S LCD Display OEM (TM) Black With Small Parts,91
1424,5S67,For iPhone 5S LCD Display OEM (SC) Black,59
1423,6SP01,For iPhone 6S Plus LCD Display Original New Black,520
1422,6S91,For iPhone 6S LCD Display OEM (AUO) Black,117
1421,6S90,For iPhone 6S LCD Display OEM (AUO) White,139
1419,5G030,For iPhone 5 LCD Display OEM (SC) Black,58
1418,5C54,For iPhone 5C LCD Display OEM (TM) Black,62
1417,4897058386011?,For iPhone 6/6S Front and Back Breaking Proof Case 360° Full Cover Case Crystal Black ,
1416,4897058386004?,For iPhone 6/6S Front and Back Breaking Proof Case 360° Full Cover Case Crystal White ,
1415,4.89706E+12,For Samsung Galaxy SM-A320F A3 (2017) Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1414,4.89706E+12,For Samsung Galaxy SM-A520F A5 (2017) Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1413,HWP10321,For Huawei P10 LCD Front Frame Housing /LCD Display Sticker Adhesive,1
1412,HWM9P321,For Huawei Mate 9 Pro Front Frame Housing /LCD Display Sticker Adhesive,1.5
1411,HWP9P321,For Huawei P9 Plus Front Frame Housing /LCD Display Sticker Adhesive,1.5
1410,HWM9321,For Huawei Mate 9 Front Frame Housing /LCD Display Sticker Adhesive,1.5
1409,HWP10LITE321,For Huawei P10 Lite Battery Back Cover Sticker Adhesive,0.8
1408,HWH8LITE322,For Huawei Honor 8 Lite Battery Back Cover Sticker Adhesive,0.8
1407,HWH8LITE321,For Huawei Honor 8 Lite Front Frame Housing /LCD Display Sticker Adhesive,1
1406,HWH7101A,For Huawei Honor 7 LCD Display with frame Original Black ,
1405,6P523,For iPhone 6 Plus LCD Display OEM (AUO) White,122
1404,6P521,For iPhone 6 Plus LCD Display OEM (COG) Black,122
1403,IPAR201,For iPad Air 2 LCD Display Original Assembly Black,880
1402,4.89706E+12,For iPhone 7 Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1401,4.89706E+12,For iPhone 7 Plus Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1400,4.89706E+12,For Samsung SM-G925F Galaxy S6 Edge Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1399,4.89706E+12,For Samsung SM-G920F Galaxy S6 Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1398,4.89706E+12,For Samsung SM-G955F Galaxy S8 Plus Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1397,4.89706E+12,For Samsung SM-G950F Galaxy S8 Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1396,4.89706E+12,For Samsung SM-G935F Galaxy S7 Edge Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1395,4.89706E+12,For Samsung SM-G930F Galaxy S7 Front and Back Breaking Proof Case 360° Full Cover Crystal White,3
1394,7P51,For iPhone 7 Plus LCD Display Original Assembly White,580
1393,SONZ3P202,For Sony Xperia Z3 Compact LCD Screen Display With Touch Screen Digitizer Assembly-Changed Glass White,165
1392,SONZ3P201,For Sony Xperia Z3 Compact LCD Screen Display With Touch Screen Digitizer Assembly-Changed Glass Black,160
1391,SONZ1C201,For Sony Xperia Z1 Compact LCD Screen Display With Touch Screen Digitizer Assembly-Changed Glass Black,145
1390,SAMG955F001A,For Samsung Galaxy SM-G955F S8 Plus LCD Display Original New Black with frame,1660
1389,HWH7202,For Huawei P10 Lite LCD Screen Display With Touch Screen Digitizer Assembly-OEM White,105
1388,HWP9LITE001,For Huawei P10 Lite LCD Screen Display With Touch Screen Digitizer Assembly-Original Black,95
1387,SAMG930F025BK,Dust Mesh/Ear Speaker Grill For Samsung SM-G930F/G935F/N930F/Note 7 Black,1
1385,SONZ5011,For Sony Xperia Z5 Small Plug in Gold,7
1384,SONZ5010,For Sony Xperia Z5 Small Plug in Black,7
1383,SONZ5009,For Sony Xperia Z5 Power Flex,25
1382,SONZ5008,For Sony Xperia Z5 E6653 Back Adhesive,1
1381,SONZ5007,For Sony Xperia Z5 E6653 Front Adhesive,0.8
1380,SONZ5006,For Sony Xperia Z5 Back Cover Gold ,3.3
1379,SONZ5005,For Sony Xperia Z5 Back Cover White,3.3
1378,SONZ5004,For Sony Xperia Z5 Back Cover Black,3.3
1377,SONZ5002,For Sony Xperia Z5 E6653 LCD White,155
1376,SONZ5001,For Sony Xperia Z5 E6653 LCD Complete Black,155
1375,SONZ2001,For Sony Xperia Z2 LCD Black Original New,165
1374,SONZ305,For Sony Xperia Z3 Coaxial Cable for Antenna,4
1373,SONZ304,For Sony Xperia Z3 LCD With Frame Original Gold,200
1372,SONZ303,For Sony Xperia Z3 LCD With Frame Original Gold,200
1371,SONZ302,For Sony Xperia Z3 LCD With Frame Original White,200
1370,SONZ301,For Sony Xperia Z3 LCD With Frame Original Black,200
1369,SONZ5P019,For Sony Xperia Z5 Premium Coaxial Cable for Antenna,1
1368,SONZ5P018,For Sony Xperia Z5 Premium Speaker,2
1367,SONZ5P017,For Sony Xperia Z5 Premium Earpiece,2
1366,SONZ5P016,For Sony Xperia Z5 Premium Front Camera,12
1365,SONZ5P015,For Sony Xperia Z5 Premium Back Camera,58
1364,SONZ5P013,For Sony Xperia Z5 Premium Small Plug in White,9.5
1363,SONZ5P012,For Sony Xperia Z5 Premium Small Plug in Gold,12
1362,SONZ5P011,For Sony Xperia Z5 Premium Small Plug in Black,12
1361,SONZ5P010,For Sony Xperia Z5 Premium Audio Flex,17
1360,SONZ5P009,For Sony Xperia Z5 Premium Charging Connector Flex,12
1359,SONZ5P008,For Sony Xperia Z5 Permium E6853 Power & Volume Flex,30
1358,SONZ5P007,For Sony Xperia Z5 Premium E6853 Back Adhesive ,1
1357,SONZ5P006,For Sony Xperia Z5 Premium E6853 Front Adhesive ,1
1356,SONZ5P005,For Sony Xperia Z5 Premium E6853 Back Cover Gold,4.5
1355,SONZ5P004,For Sony Xperia Z5 Premium E6853 Back Cover chrom,18
1354,SONZ5P003,For Sony Xperia Z5 Premium Back Cover Black,4
1353,SONZ5P001,For Sony Xperia Z5 Premium E6853 LCD Black,230
1352,SONZ5C027,For Sony Xperia Z5 Compact Back Camera flash flex cable,6
1351,SONZ5C025,For Sony Xperia Z5 Compact LCD With Frame Original Red,320
1350,SONZ5C024,For Sony Xperia Z5 Compact LCD With Frame Original Yellow,200
1349,SONZ5C023,For Sony Xperia Z5 Compact LCD With Frame Original Black,200
1348,SONZ5C022,For Sony Xperia Z5 Compact LCD With Frame Original White,320
1347,SONZ5C021,For Sony Xperia Z5 Compact Reader,5.5
1346,SONZ5C020,For Sony Xperia Z5 Compact Speaker,4
1345,SONZ5C019,For Sony Xperia Z5 Compact Back Camera,60
1344,SONZ5C018,For Sony Xperia Z5 Compact Front Camera,13
1343,SONZ5C017,For Sony Xperia Z5 Compact NFC Antenna,5
